age,dist_group,main_mode,share
25 - 35,2000 - 5000,ride,0.015947741862822388
25 - 35,2000 - 5000,walk,0.013259617395781378
25 - 35,5000 - 10000,bike,0.017092899779576207
25 - 35,5000 - 10000,car,0.05822888677939921
25 - 35,5000 - 10000,pt,0.08847883448908338
25 - 35,5000 - 10000,ride,0.01360272231428893
25 - 35,5000 - 10000,walk,0.00380955062507039
25 - 35,10000 - 20000,bike,0.00848470709378469
25 - 35,10000 - 20000,car,0.031400736891220055
25 - 35,10000 - 20000,pt,0.03678905282126365
25 - 35,10000 - 20000,ride,0.0069646678358244955
25 - 35,10000 - 20000,walk,0.00016853571026338233
25 - 35,20000+,bike,0.001866362042057503
25 - 35,20000+,car,0.01383923543513587
25 - 35,20000+,pt,0.07791699515711227
25 - 35,20000+,ride,0.0045983299277589165
25 - 35,20000+,walk,0.00011182082924396245
35 - 66,0 - 1000,bike,0.10151863491498381
35 - 66,0 - 1000,car,0.047388045291690196
35 - 66,0 - 1000,pt,0.004658414544051906
35 - 66,0 - 1000,ride,0.011727043323529472
35 - 66,0 - 1000,walk,0.11659849818345598
35 - 66,1000 - 2000,bike,0.06286620231814737
35 - 66,1000 - 2000,car,0.04479582246289961
35 - 66,1000 - 2000,pt,0.011840270263909035
35 - 66,1000 - 2000,ride,0.010602429020647518
35 - 66,1000 - 2000,walk,0.02807571100463031
35 - 66,2000 - 5000,bike,0.05311474630652807
35 - 66,2000 - 5000,car,0.08966282593877245
35 - 66,2000 - 5000,pt,0.05423250529515898
35 - 66,2000 - 5000,ride,0.022458237996858896
35 - 66,2000 - 5000,walk,0.015597896515375213
35 - 66,5000 - 10000,bike,0.012786989161976677
35 - 66,5000 - 10000,car,0.06846002449175272
35 - 66,5000 - 10000,pt,0.06855862676173007
35 - 66,5000 - 10000,ride,0.016434930385426334
35 - 66,5000 - 10000,walk,0.004644246894599771
35 - 66,10000 - 20000,bike,0.006882849763274574
35 - 66,10000 - 20000,car,0.0314272741419603
35 - 66,10000 - 20000,pt,0.025950792097285135
35 - 66,10000 - 20000,ride,0.008249799424930539
35 - 66,10000 - 20000,walk,0.00035407698106585056
35 - 66,20000+,bike,0.00150337041525152
35 - 66,20000+,car,0.015414059838210014
35 - 66,20000+,pt,0.0581430050544232
35 - 66,20000+,ride,0.006052671207474486
35 - 66,20000+,walk,0.0
66+,0 - 1000,bike,0.08986478840114985
66+,0 - 1000,car,0.04025906863504375
66+,0 - 1000,pt,0.019398220823483966
66+,0 - 1000,ride,0.024507774018914578
66+,0 - 1000,walk,0.22577846084983466
66+,1000 - 2000,bike,0.04535502923041227
66+,1000 - 2000,car,0.03387876538729743
66+,1000 - 2000,pt,0.0327376191960388
66+,1000 - 2000,ride,0.02134069820444914
66+,1000 - 2000,walk,0.05586274129235912
66+,2000 - 5000,bike,0.031789614368453026
66+,2000 - 5000,car,0.05392721826491408
66+,2000 - 5000,pt,0.0673671386565327
66+,2000 - 5000,ride,0.027425441427589688
66+,2000 - 5000,walk,0.029918893271536524
66+,5000 - 10000,bike,0.005787918770622029
66+,5000 - 10000,car,0.03283023854064788
66+,5000 - 10000,pt,0.054953617623090464
66+,5000 - 10000,ride,0.01451721297328327
66+,5000 - 10000,walk,0.01058168109484284
66+,10000 - 20000,bike,0.006604106988303409
66+,10000 - 20000,car,0.01186444321232969
66+,10000 - 20000,pt,0.017779753095161478
66+,10000 - 20000,ride,0.010033235487686686
66+,10000 - 20000,walk,0.0009853054510119532
66+,20000+,bike,0.0010226060744381357
66+,20000+,car,0.009275527060970078
66+,20000+,pt,0.01681973620240456
66+,20000+,ride,0.007533145397197899
66+,20000+,walk,0.0
