dist,ride,walk,pt,car,bike
0,0.017185093460516047,0.716733419590736,0.00894249043521492,0.04325562781203908,0.213883368701494
100,0.026711411406821928,0.6521086651100039,0.014181912878226385,0.06790590262527331,0.23909210797967453
200,0.03290305148227014,0.6094212281840613,0.017711354516948805,0.08380084698231274,0.2561635188344071
300,0.03733653483324861,0.5780222273549427,0.020372021244287823,0.09502535834307464,0.26924385822444624
400,0.040723696862061044,0.5532308856104915,0.022529280824223168,0.10340578894785399,0.28011034775537025
500,0.043516369002470225,0.5325141919057741,0.02439186548841842,0.11016306540954933,0.28941450819378783
600,0.046272197097191485,0.5134075454541898,0.026174335292918818,0.11697124470564023,0.2971746774500598
700,0.04948418463414538,0.4882591412733779,0.029416575725013334,0.12503381662224622,0.30780628174521707
800,0.052979214771942285,0.4589951259185086,0.033696942896303844,0.13391227972915282,0.32041643668409253
900,0.056692028366754355,0.42439336860553106,0.03943177966777603,0.14318542967728784,0.3362973936826508
1000,0.060975095172032714,0.38267797917906826,0.0473369643483445,0.15322689724159175,0.3557830640589627
1100,0.06594982997875559,0.3374668427631107,0.05774455179071335,0.1649266826159236,0.3739120928514968
1200,0.07050453986353049,0.3023610003835714,0.06896831720432746,0.17776831224862025,0.3803978302999505
1300,0.07403958675028935,0.2759419665319154,0.08025180809177844,0.18980251672848392,0.37996412189753287
1400,0.07716319211515013,0.2543336258273163,0.09152850213657733,0.20040223455884942,0.3765724453621068
1500,0.0799311444742084,0.23666580565030743,0.10274084600777922,0.21019383162234276,0.37046837224536217
1600,0.08240065253058249,0.22169828155430224,0.11368236382564793,0.21939320839952706,0.3628254936899402
1700,0.08427729522799139,0.20863346245342076,0.12434939358480049,0.22735431486185043,0.355385533871937
1800,0.0851032408687834,0.19674927947249665,0.1345337669465864,0.23433010498098827,0.34928360773114525
1900,0.08575756204582635,0.18515935611097337,0.14361204899363336,0.24110758870425836,0.3443634441453086
2000,0.0868987317000427,0.17379237962300925,0.15173602625237598,0.24756390853344623,0.34000895389112595
2100,0.08829812746940346,0.16226597392592348,0.15972777972101873,0.25384231417451253,0.33586580470914174
2200,0.0894958796807506,0.1504933196859096,0.1685750377901605,0.2600119703923838,0.33142379245079556
2300,0.0901497326718492,0.13857124923185027,0.17848612727020155,0.2656877684486844,0.3271051223774145
2400,0.09016927774116766,0.1264804596214487,0.18927366058877504,0.27029061728942694,0.3237859847591815
2500,0.0907398839191791,0.11524544492970577,0.19998584359689953,0.2735774104268238,0.32045141712739184
2600,0.09235377429858475,0.10558035258303915,0.2103336547408264,0.2761473107857683,0.3155849075917813
2700,0.09386907145497625,0.09798364048047004,0.22048364875175375,0.2787697287869857,0.3088939105258144
2800,0.09458567701835129,0.09263577105949679,0.23021065249743575,0.2809834892800245,0.3015844101446917
2900,0.09498827372838783,0.08918252378032655,0.23869852620294515,0.28276009051405404,0.29437058577428643
3000,0.09543665407759207,0.08645431751747475,0.2459776376039666,0.2859936310264701,0.2861377597744966
3100,0.09679549130808632,0.08394192233457616,0.2520337201778088,0.29125221735792467,0.27597664882160405
3200,0.09905145538912105,0.0813504143111758,0.25787548947097655,0.2979688481086104,0.2637537927201162
3300,0.10122904053928632,0.07830433659724459,0.2641355104057563,0.3050654827710711,0.2512656296866417
3400,0.10253821126504577,0.07461865597121989,0.2707285483900102,0.31154705508013975,0.24056752929358433
3500,0.10323403257283195,0.07061230184649252,0.27775485440069664,0.31697705760957506,0.2314217535704039
3600,0.10329186775349358,0.0670888315461482,0.28604059059585496,0.3203558631978205,0.2232228469066827
3700,0.10307868598085601,0.06461900265408517,0.29527150584084916,0.3222103937207763,0.21482041180343325
3800,0.10267011634015544,0.06236451669315729,0.30420716502872747,0.3243821573059216,0.20637604463203818
3900,0.10208083251481141,0.06036653494212165,0.31148056170617733,0.3258991612375669,0.20017290959932266
4000,0.10201825144232027,0.05893387045785259,0.31694228831630167,0.32587603630627876,0.1962295534772467
4100,0.1025252085069131,0.05835435354389801,0.3213531620561492,0.325151750332224,0.19261552556081554
4200,0.10278126052722326,0.058355451873337565,0.325938868755806,0.32476454568336577,0.1881598731602674
4300,0.10287141285683168,0.0586914484285968,0.3313983488564959,0.32463709069698926,0.18240169916108637
4400,0.10345488023167161,0.05865571207548329,0.3372934101906732,0.3244576817241674,0.1761383157780046
